school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
31,95914,北京,2022,计算机类,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,综合,10,四年,5300,,物理必选
31,95916,北京,2022,心理学类,本科(普通) (1),理学 (9),心理学类 (61),普通类,本科批,综合,10,四年,5000,,物理必选
31,95917,北京,2022,地球物理学类,本科(普通) (1),理学 (9),地球物理学类 (58),普通类,本科批,综合,10,四年,5000,,物理必选
31,95918,北京,2022,工科试验班类,本科(普通) (1),,,普通类,本科批,综合,10,四年,5000,,物理必选
31,95919,北京,2022,理科试验班类,本科(普通) (1),,,普通类,本科批,综合,10,四年,5300,,物理必选
31,176268,北京,2022,天文学,本科(普通) (1),理学 (9),天文学类 (54),普通类,本科批,综合,4,四年,5000,,物理必选
31,165,北京,2022,数学类,本科(普通) (1),理学 (9),数学类 (51),普通类,本科批,综合,3,四年,5000,,物理必选
31,95913,北京,2022,物理学类,本科(普通) (1),理学 (9),物理学类 (52),普通类,本科批,综合,3,四年,5000,,物理必选
31,117,北京,2022,化学类,本科(普通) (1),理学 (9),化学类 (53),普通类,本科批,综合,2,四年,5000,,物理/化学(2选1)
31,118,北京,2022,环境科学与工程类,本科(普通) (1),工学 (10),环境科学与工程类 (87),普通类,本科批,综合,2,四年,5000,,物理/化学(2选1)
31,95915,北京,2022,生物科学类,本科(普通) (1),理学 (9),生物科学类 (60),普通类,本科批,综合,2,四年,5300,,物理/化学(2选1)
31,95920,北京,2022,地质学类,本科(普通) (1),理学 (9),地质学类 (59),普通类,本科批,综合,2,四年,5000,,物理/化学(2选1)
31,95944,北京,2022,环境科学,本科(普通) (1),工学 (10),环境科学与工程类 (87),普通类,本科批,综合,2,四年,5000,,物理/化学(2选1)
31,132,北京,2022,阿拉伯语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科提前批A段,综合,2,4,5000,,不限
31,145,北京,2022,德语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科提前批A段,综合,2,4,5000,,不限
31,146,北京,2022,法语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科提前批A段,综合,2,4,5000,,不限
31,149,北京,2022,西班牙语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科提前批A段,综合,2,4,5000,,不限
31,156,北京,2022,印度尼西亚语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科提前批A段,综合,2,4,5000,,不限
31,162364,北京,2022,葡萄牙语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科提前批A段,综合,2,4,5000,,不限
31,129,北京,2022,俄语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科提前批A段,综合,1,4,5000,,不限
31,147,北京,2022,日语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科提前批A段,综合,1,4,5000,,不限
31,154,北京,2022,朝鲜语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科提前批A段,综合,1,4,5000,,不限
31,159,北京,2022,泰语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科提前批A段,综合,1,4,5000,,不限
31,1532342,北京,2022,马克思主义理论类,本科(普通) (1),法学 (5),马克思主义理论类 (43),普通类,本科提前批A段,综合,4,4,5000,,思想政治必选
31,132,北京,2022,阿拉伯语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科提前批A段,综合,2,4,5000,,不限
